Issue Key,Request Type,Author,Time Spent,Start Time,Comment,Amount,Tax,Total Amount
ELEG-20,Service Request,fayaz,15m,2022-09-19T09:02:00.000+0000,PROJECTCOST Travel: 200,50.0,10.0,55.0
ELEG-20,Service Request,likitha,1h,2022-09-29T15:46:00.000+0000,Automated Log Work,150.0,10.0,165.0
ELEG-20,Service Request,fayaz,4h,2022-10-13T14:59:00.000+0000,fayaz-test,800.0,10.0,880.0
ELEG-20,Service Request,fayaz,1h,2022-10-19T12:07:00.000+0000,test-fayaz,200.0,10.0,220.0
ELEG-20,Service Request,fayaz,23m,2022-10-20T12:14:29.303+0000,Automated Log Work,76.66666666666667,10.0,84.33333333333334
ELEG-20,Service Request,navi,15m,2022-10-21T08:15:54.300+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-10-24T08:15:54.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-10-25T08:15:54.600+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-10-26T08:15:54.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-10-27T08:15:55.200+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-10-28T08:15:54.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-03T09:58:00.000+0000,ADHOC:200:travel,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-04T08:15:56.000+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-07T08:15:54.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-08T08:15:56.100+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-09T08:15:00.000+0000,ADHOC:500:travel,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-10T08:15:55.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-11T08:15:55.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-14T08:15:56.100+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-15T08:15:56.000+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-16T08:15:56.300+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-17T08:15:56.400+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-18T08:15:56.100+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-21T08:15:56.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-22T08:15:56.600+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-23T08:15:56.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-24T08:15:55.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-25T08:15:55.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-28T08:15:55.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-29T08:15:55.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-11-30T08:15:55.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-01T08:15:00.000+0000,ADHOC:200:travel,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-02T08:15:56.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-05T08:15:00.000+0000,ADHOC:500:travel,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-06T08:15:57.300+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-07T08:15:57.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-08T08:15:57.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-09T08:15:57.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-12T08:15:57.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-13T08:15:58.000+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-14T08:15:57.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-15T08:15:58.100+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-16T08:15:58.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-19T08:15:58.600+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-20T08:15:58.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-21T08:15:59.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-22T08:15:59.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-23T08:15:59.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-26T08:15:59.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-27T08:15:59.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-28T08:15:59.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-29T08:16:00.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2022-12-30T08:16:00.500+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-02T08:16:00.600+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-03T08:15:01.000+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-04T08:15:01.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-05T08:15:01.300+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-06T08:15:01.200+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-09T08:15:01.400+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-10T08:15:01.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-11T08:15:02.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-12T08:15:03.300+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-13T08:15:03.200+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-16T08:15:03.900+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-17T08:15:04.000+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-18T08:15:58.600+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-19T08:15:58.200+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-20T08:15:58.100+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-23T08:15:00.000+0000,FIXED:500:15:travel,500.0,15.0,575.0
ELEG-20,Service Request,navi,15m,2023-01-24T08:15:59.200+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,fayaz,6w 5h 34m,2023-01-24T20:01:00.000+0000,,49113.333333333336,10.0,54024.66666666667
ELEG-20,Service Request,navi,15m,2023-01-25T08:15:00.000+0000,FIXED:200:20:travel,200.0,20.0,240.0
ELEG-20,Service Request,navi,15m,2023-01-26T08:16:00.000+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-27T08:15:59.800+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-30T08:16:00.200+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-01-31T08:16:00.100+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-02-01T08:16:00.300+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-02-02T08:16:00.700+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,navi,15m,2023-02-03T08:15:01.100+0000,angular-adhocwork,25.0,10.0,27.5
ELEG-20,Service Request,fayaz,15m,2023-03-02T16:49:00.000+0000,FIXED:1000:10:test1,1000.0,10.0,1100.0
ELEG-20,Service Request,fayaz,15m,2023-03-02T16:50:00.000+0000,ADHOC:Test-1,50.0,10.0,55.0
ELEG-20,Service Request,fayaz,15m,2023-04-06T10:11:00.000+0000,Fixed:1000:10:april-6th,1000.0,10.0,1100.0
ELEG-20,Service Request,fayaz,15m,2023-04-06T10:13:00.000+0000,ADHOC:Just adding adhoc for testing,50.0,10.0,55.0
ELEG-20,Service Request,fayaz,15m,2023-04-06T10:14:00.000+0000,Direct comment in the log,50.0,10.0,55.0
,,,,,,,,60561.50000000001
